ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum,Opcode_Num,Opcode_Num_Norm,Bitwidth_Norm,Execution_Count_Norm,Avg_Latency_Norm,FSS_Score
1213,0x7ffff7fcf0f2,STORE,64.0,72.0,61.78,L1,0.0,72.0,61.78,4.0,1.0,0.4666666666666667,0.0284,0.05899426192726682,0.3885152321484834
929,0x7ffff7fcf0f7,STORE,64.0,28.0,58.29,L1,0.0,28.0,58.29,4.0,1.0,0.4666666666666667,0.0108,0.055662169774391576,0.38328220911026456
464,0x7ffff7fcf103,STORE,32.0,1.0,0.0,,0.0,1.0,0.0,4.0,1.0,0.2,0.0,9.547541985315879e-06,0.3000023868854963
1303,0x7ffff7fcf107,LOAD,32.0,82.0,55.79999999999999,L2,0.0,82.0,55.8,4.0,1.0,0.2,0.032400000000000005,0.05328483182004791,0.32142120795501194
1377,0x7ffff7fcf107,LOAD,32.0,8.0,76.05000000000007,L2,0.0,90.0,57.6,4.0,1.0,0.2,0.0028,0.07261860434031264,0.31885465108507816
902,0x7ffff7fcf107,LOAD,32.0,24.0,57.330000000000005,L2,0.0,24.0,57.33,4.0,1.0,0.2,0.009200000000000002,0.05474560574380126,0.3159864014359503
961,0x7ffff7fcf107,LOAD,32.0,9.0,60.446666666666665,L2,0.0,33.0,58.18,4.0,1.0,0.2,0.0032,0.0577212563292247,0.3152303140823062
1181,0x7ffff7fcf10e,STORE,32.0,67.0,61.13,L1,0.0,67.0,61.13,4.0,1.0,0.2,0.0264,0.05837367169822129,0.3211934179245553
813,0x7ffff7fcf113,LOGIC,32.0,9.0,46.22,,0.0,9.0,46.22,2.0,0.5,0.2,0.0032,0.044138286598115306,0.18683457164952882
923,0x7ffff7fcf113,LOGIC,32.0,18.0,56.88499999999999,,0.0,27.0,53.33,2.0,0.5,0.2,0.0068000000000000005,0.05432074012545469,0.19028018503136368
