ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount
292,0x7ffff7fdaa58,ARITH,32,1800,54.93,N/A,0
293,0x7ffff7fdaa64,BRANCH,64,1809,54.52,N/A,2
294,0x7ffff7fdaa75,LOGIC,32,1818,54.14,N/A,0
295,0x7ffff7fda9d0,ARITH,32,697,90.81,N/A,0
296,0x7ffff7fdaa5c,ARITH,64,1826,55.20,N/A,0
297,0x7ffff7fdaa64,BRANCH,64,1836,54.50,N/A,2
298,0x7ffff7fdaa71,LOAD,32,1846,55.94,L1,0
299,0x7ffff7fdaa5c,ARITH,64,1854,55.16,N/A,0
300,0x7ffff7fda9e1,LOGIC,32,709,56.06,N/A,0
301,0x7ffff7fdaa6a,LOAD,32,1863,72.73,LLC,0
302,0x7ffff7fdaa71,LOAD,32,1873,56.04,L1,0
303,0x7ffff7fdaa7a,OTHER,64,483,55.45,N/A,0
304,0x7ffff7fdaa86,NOP,16,486,54.72,N/A,0
305,0x7ffff7fda9da,OTHER,64,721,55.57,N/A,0
306,0x7ffff7fdaa5c,ARITH,64,1894,55.13,N/A,0
307,0x7ffff7fdaa81,OTHER,64,489,55.43,N/A,0
308,0x7ffff7fdaa71,LOAD,32,1914,56.11,L1,0
309,0x7ffff7fdaa5c,ARITH,64,1922,55.18,N/A,0
310,0x7ffff7fda9d3,BRANCH,64,732,51.15,N/A,2
311,0x7ffff7fdaa84,OTHER,32,496,55.03,N/A,0
312,0x7ffff7fdaa71,LOAD,32,1938,56.11,L1,0
313,0x7ffff7fdaa5c,ARITH,64,1946,55.19,N/A,0
314,0x7ffff7fdaa6a,LOAD,32,1956,72.59,LLC,0
315,0x7ffff7fda9e3,BRANCH,64,744,0.00,N/A,2
316,0x7ffff7fdaa17,OTHER,64,57,53.89,N/A,0
317,0x7ffff7fdaa6f,BRANCH,64,1969,55.45,N/A,2
318,0x7ffff7fdaa75,LOGIC,32,1979,54.28,N/A,0
319,0x7ffff7fdaa60,ARITH,32,1987,54.92,N/A,0
320,0x7ffff7fda9eb,BRANCH,64,57,0.00,N/A,2
321,0x7ffff7fdaa93,ARITH,32,543,55.69,N/A,0
322,0x7ffff7fdaa58,ARITH,32,2008,55.09,N/A,0
323,0x7ffff7fdaa6a,LOAD,32,2017,72.49,LLC,0
324,0x7ffff7fdaa75,LOGIC,32,2026,54.27,N/A,0
325,0x7ffff7fda9d5,LOAD,32,768,58.71,L2,0
