ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum
194,0x55555555516e,ARITH,32.0,125.0,56.3292799999998,,0.0,7128.0,58.01
195,0x55555555516e,ARITH,32.0,125.0,55.10880000000028,,0.0,7253.0,57.96
196,0x55555555516e,ARITH,32.0,125.0,53.828319999999835,,0.0,7378.0,57.89
197,0x55555555516e,ARITH,32.0,125.0,54.288560000000054,,0.0,7503.0,57.83
198,0x55555555516e,ARITH,32.0,125.0,54.168560000000056,,0.0,7628.0,57.77
199,0x55555555516e,ARITH,32.0,125.0,54.04856000000006,,0.0,7753.0,57.71
200,0x55555555516e,ARITH,32.0,125.0,52.668080000000074,,0.0,7878.0,57.63
201,0x55555555516e,ARITH,32.0,125.0,53.788560000000054,,0.0,8003.0,57.57
202,0x55555555516e,ARITH,32.0,125.0,53.01831999999983,,0.0,8128.0,57.5
203,0x55555555516e,ARITH,32.0,125.0,54.19880000000028,,0.0,8253.0,57.45
204,0x55555555516e,ARITH,32.0,125.0,52.758319999999834,,0.0,8378.0,57.38
205,0x55555555516e,ARITH,32.0,125.0,51.93807999999961,,0.0,8503.0,57.3
206,0x55555555516e,ARITH,32.0,125.0,55.22928000000073,,0.0,8628.0,57.27
207,0x55555555516e,ARITH,32.0,125.0,57.27,,0.0,8753.0,57.27
208,0x55555555516e,ARITH,32.0,125.0,54.429039999999105,,0.0,8878.0,57.23
209,0x55555555516e,ARITH,32.0,125.0,55.069280000000724,,0.0,9003.0,57.2
210,0x55555555516e,ARITH,32.0,125.0,53.548799999999815,,0.0,9128.0,57.15
211,0x55555555516e,ARITH,32.0,125.0,57.14999999999954,,0.0,9253.0,57.15
212,0x55555555516e,ARITH,32.0,125.0,51.14808000000007,,0.0,9378.0,57.07
213,0x55555555516e,ARITH,32.0,125.0,55.549520000000484,,0.0,9503.0,57.05
214,0x55555555516e,ARITH,32.0,125.0,55.509519999999554,,0.0,9628.0,57.03
215,0x55555555516e,ARITH,32.0,125.0,53.12879999999981,,0.0,9753.0,56.98
216,0x55555555516e,ARITH,32.0,125.0,52.23856000000052,,0.0,9878.0,56.92
217,0x55555555516e,ARITH,32.0,125.0,51.3183200000003,,0.0,10003.0,56.85
218,0x55555555516e,ARITH,32.0,125.0,54.41927999999933,,0.0,10128.0,56.82
219,0x55555555516e,ARITH,32.0,125.0,56.82,,0.0,10253.0,56.82
220,0x55555555516e,ARITH,32.0,125.0,56.82,,0.0,10378.0,56.82
221,0x55555555516e,ARITH,32.0,125.0,55.13952000000049,,0.0,10503.0,56.8
222,0x55555555516e,ARITH,32.0,125.0,53.399040000000035,,0.0,10628.0,56.76
223,0x55555555516e,ARITH,32.0,125.0,54.17927999999933,,0.0,10753.0,56.73
224,0x55555555516e,ARITH,32.0,125.0,54.98952000000048,,0.0,10878.0,56.71
225,0x55555555516e,ARITH,32.0,125.0,55.82975999999978,,0.0,11003.0,56.7
226,0x55555555516e,ARITH,32.0,125.0,56.7,,0.0,11128.0,56.7
227,0x55555555516e,ARITH,32.0,125.0,53.99928000000026,,0.0,11253.0,56.67
228,0x55555555516e,ARITH,32.0,125.0,57.580240000000224,,0.0,11378.0,56.68
229,0x55555555516e,ARITH,32.0,125.0,55.75975999999978,,0.0,11503.0,56.67
230,0x55555555516e,ARITH,32.0,125.0,58.530479999999514,,0.0,11628.0,56.69
231,0x55555555516e,ARITH,32.0,125.0,55.749760000000705,,0.0,11753.0,56.68
232,0x55555555516e,ARITH,32.0,125.0,55.72975999999978,,0.0,11878.0,56.67
233,0x55555555516e,ARITH,32.0,125.0,57.63024000000022,,0.0,12003.0,56.68
234,0x55555555516e,ARITH,32.0,125.0,54.73951999999955,,0.0,12128.0,56.66
235,0x55555555516e,ARITH,32.0,125.0,58.62048000000045,,0.0,12253.0,56.68
236,0x55555555516e,ARITH,32.0,125.0,55.68975999999978,,0.0,12378.0,56.67
